"journal","discipline","fullTitle"
"A A Case Rep","Anesthesiology","A &A case reports"
"AACN Adv Crit Care","Critical Care","AACN advanced critical care"
"AACN Clin Issues","Nursing","AACN clinical issues"
"AANA","Nursing","AANA journal"
"AAOHN","Nursing","AAOHN journal : official journal of the American Association of Occupational Health Nurses"
"AAPS","Pharmacology","The AAPS journal"
"AAPS PharmSciTech","Pharmacology","AAPS PharmSciTech"
"Abdom Imaging","Diagnostic Imaging","Abdominal imaging"
"Abdom Radiol (NY)","Diagnostic Imaging","Abdominal radiology (New York)"
"ABNF","Nursing","The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc"
"Acad Emerg Med","Medicine","Academic emergency medicine : official journal of the Society for Academic Emergency Medicine"
"Acad Med","Medicine","Academic medicine : journal of the Association of American Medical Colleges"
"Acad Pediatr","Pediatrics","Academic pediatrics"
"Acad Psychiatry","Psychiatry","Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry"
"Acad Radiol","Radiology","Academic radiology"
"Acc Chem Res","Chemistry","Accounts of chemical research"
"Accid Anal Prev","Traumatology","Accident; analysis and prevention"
"Accid Emerg Nurs","Nursing","Accident and emergency nursing"
"Account Res","Ethics","Accountability in research"
"ACP J Club","Medicine","ACP journal club"
"ACS Appl Mater Interfaces","Biochemistry","ACS applied materials &interfaces"
"ACS Chem Biol","Biochemistry","ACS chemical biology"
"ACS Chem Neurosci","Neurology","ACS chemical neuroscience"
"ACS Comb Sci","Chemistry","ACS combinatorial science"
"ACS Nano","Nanotechnology","ACS nano"
"ACS Synth Biol","Biology","ACS synthetic biology"
"Acta Anaesthesiol Taiwan","Anesthesiology","Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists"
"Acta Biochim Biophys Sin (Shanghai)","Biophysics","Acta biochimica et biophysica Sinica"
"Acta Biochim Pol","Biochemistry","Acta biochimica Polonica"
"Acta Bioeng Biomech","Unclassified","Acta of bioengineering and biomechanics / Wrocław University of Technology"
"Acta Biol Hung","Biology","Acta biologica Hungarica"
"Acta Biomater","Biomedical Engineering","Acta biomaterialia"
"Acta Biomed","Medicine","Acta bio-medica : Atenei Parmensis"
"Acta Biotheor","Biology","Acta biotheoretica"
"Acta Cardiol","Cardiology","Acta cardiologica"
"Acta Chim Slov","Chemistry","Acta chimica Slovenica"
"Acta Chir Iugosl","General Surgery","Acta chirurgica Iugoslavica"
"Acta Cir Bras","General Surgery","Acta cirúrgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia"
"Acta Clin Croat","Medicine","Acta clinica Croatica"
"Acta Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography"
"Acta Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section A, Foundations of crystallography"
"Acta Crystallogr A Found Adv","Chemistry Techniques, Analytical","Acta crystallographica. Section A, Foundations and advances"
"Acta Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section B, Structural science"
"Acta Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section B: Structural crystallography and crystal chemistry"
"Acta Crystallogr B Struct Sci Cryst Eng Mater","Chemistry Techniques, Analytical","Acta crystallographica Section B, Structural science, crystal engineering and materials"
"Acta Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section C, Crystal structure communications"
"Acta Crystallogr C Struct Chem","Chemistry Techniques, Analytical","Acta crystallographica. Section C, Structural chemistry"
"Acta Crystallogr D Biol Crystallogr","Chemistry Techniques, Analytical","Acta crystallographica. Section D, Biological crystallography"
"Acta Crystallogr F Struct Biol Commun","Chemistry Techniques, Analytical","Acta crystallographica. Section F, Structural biology communications"
"Acta Crystallogr Sect F Struct Biol Cryst Commun","Chemistry Techniques, Analytical","Acta crystallographica. Section F, Structural biology and crystallization communications"
"Acta Cytol","Cell Biology","Acta cytologica"
"Acta Derm Venereol","Dermatology","Acta dermato-venereologica"
"Acta Dermatovenerol Alp Pannonica Adriat","Dermatology","Acta dermatovenerologica Alpina, Pannonica, et Adriatica"
"Acta Dermatovenerol Croat","Dermatology","Acta dermatovenerologica Croatica : ADC"
"Acta Diabetol","Endocrinology","Acta diabetologica"
"Acta Gastroenterol Belg","Gastroenterology","Acta gastro-enterologica Belgica"
"Acta Gastroenterol Latinoam","Gastroenterology","Acta gastroenterologica Latinoamericana"
"Acta Haematol","Hematology","Acta haematologica"
"Acta Histochem","Cell Biology","Acta histochemica"
"Acta Med Croatica","Medicine","Acta medica Croatica : ̆asopis Hravatske akademije medicinskih znanosti"
"Acta Med Hist Adriat","Medicine","Acta medico-historica adriatica : AMHA"
"Acta Med Indones","Medicine","Acta medica Indonesiana"
"Acta Med Iran","Medicine","Acta medica Iranica"
"Acta Med Okayama","Medicine","Acta medica Okayama"
"Acta Med Okayama","Medicine","Acta medicinae Okayama"
"Acta Med Port","Medicine","Acta médica portuguesa"
"Acta Medica (Hradec Kralove)","Medicine","Acta medica (Hradec Králové) / Universitas Carolina, Facultas Medica Hradec Králové"
"Acta Microbiol Immunol Hung","Immunology","Acta microbiologica et immunologica Hungarica"
"Acta Neurobiol Exp (Wars)","Neurology","Acta neurobiologiae experimentalis"
"Acta Neurochir (Wien)","Neurology","Acta neurochirurgica"
"Acta Neurochir Suppl","Neurology","Acta neurochirurgica. Supplement"
"Acta Neurol Belg","Neurology","Acta neurologica Belgica"
"Acta Neuropathol","Neurology","Acta neuropathologica"
"Acta Neuropathol Commun","Neurology","Acta neuropathologica communications"
"Acta Neuropsychiatr","Neurology","Acta neuropsychiatrica"
"Acta Obstet Gynecol Scand","Gynecology","Acta obstetricia et gynecologica Scandinavica"
"Acta Odontol Latinoam","Dentistry","Acta odontológica latinoamericana : AOL"
"Acta Odontol Scand","Dentistry","Acta odontologica Scandinavica"
"Acta Oncol","Neoplasms","Acta oncologica (Stockholm, Sweden)"
"Acta Ophthalmol","Ophthalmology","Acta ophthalmologica"
"Acta Ophthalmol Scand","Ophthalmology","Acta ophthalmologica Scandinavica"
"Acta Orthop","Orthopedics","Acta orthopaedica"
"Acta Orthop Belg","Orthopedics","Acta orthopaedica Belgica"
"Acta Orthop Scand","Orthopedics","Acta orthopaedica Scandinavica"
"Acta Orthop Traumatol Turc","Traumatology","Acta orthopaedica et traumatologica turcica"
"Acta Ortop Mex","Orthopedics","Acta ortopédica mexicana"
"Acta Otolaryngol","Otolaryngology","Acta oto-laryngologica"
"Acta Otolaryngol Suppl","Otolaryngology","Acta oto-laryngologica. Supplementum"
"Acta Otorrinolaringol Esp","Otolaryngology","Acta otorrinolaringológica española"
"Acta Paediatr","Pediatrics","Acta paediatrica"
"Acta Paediatr","Pediatrics","Acta paediatrica (Oslo, Norway : 1992)"
"Acta Parasitol","Parasitology","Acta parasitologica / Witold Stefański Institute of Parasitology, Warszawa, Poland"
"Acta Pharm","Pharmacology","Acta pharmaceutica (Zagreb, Croatia)"
"Acta Pharm Hung","Pharmacology","Acta pharmaceutica Hungarica"
"Acta Pharmacol Sin","Pharmacology","Acta pharmacologica Sinica"
"Acta Physiol Hung","Physiology","Acta physiologica Hungarica"
"Acta Pol Pharm","Pharmacology","Acta poloniae pharmaceutica"
"Acta Psychiatr Scand","Psychiatry","Acta psychiatrica Scandinavica"
"Acta Psychol (Amst)","Psychology","Acta psychologica"
"Acta Radiol","Radiology","Acta radiologica (Stockholm, Sweden : 1987)"
"Acta Reumatol Port","Rheumatology","Acta reumatológica portuguesa"
"Acta Trop","Tropical Medicine","Acta tropica"
"Acta Vet Hung","Veterinary Medicine","Acta veterinaria Hungarica"
"Acta Vet Scand","Veterinary Medicine","Acta veterinaria Scandinavica"
"Actas Dermosifiliogr","Dermatology","Actas dermo-sifiliográficas"
"Actas Esp Psiquiatr","Psychiatry","Actas españolas de psiquiatría"
"Actas Urol Esp","Urology","Actas urologicas españolas"
"Acupunct Electrother Res","Complementary Therapies","Acupuncture &electro-therapeutics research"
"Acupunct Med","Medicine","Acupuncture in medicine : journal of the British Medical Acupuncture Society"
"Acute Card Care","Cardiology","Acute cardiac care"
"Acute Med","Medicine","Acute medicine"
"Adapt Phys Activ","Unclassified","Adapted physical activity quarterly : APAQ"
"Addict Behav","Substance-Related Disorders","Addictive behaviors"
"Addict Biol","Substance-Related Disorders","Addiction biology"
"Addict Sci Clin Pract","Substance-Related Disorders","Addiction science &clinical practice"
"Addiction","Substance-Related Disorders","Addiction (Abingdon, England)"
"Adicciones","Substance-Related Disorders","Adicciones"
"Adm Policy Ment Health","Psychology","Administration and policy in mental health"
